title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
Eye of the Beholder;2000;Adults;102 min;'Drama', 'International', 'Suspense';May 26, 2022;8.0;The Eye (Ewan McGregor) is an intelligence agent whose current assignment is to track Joanna Eris (Ashley Judd), a woman suspected of blackmailing a senior government official. But the Eye soon learns that Eris is far more than a blackmailer. As he follows her, he becomes fascinated with what he sees. Soon his surveillance becomes a deadly obsession.;prime;'Drama', 'International', 'Suspense', Adults, The Eye (Ewan McGregor) is an intelligence agent whose current assignment is to track Joanna Eris (Ashley Judd), a woman suspected of blackmailing a senior government official. But the Eye soon learns that Eris is far more than a blackmailer. As he follows her, he becomes fascinated with what he sees. Soon his surveillance becomes a deadly obsession.
No Way Out;2020;Adults;81 min;'Horror';May 26, 2022;9.6;Trying to salvage a relationship, 2 couples go on a weekend camping trip only to find out that they aren't alone in the woods.;prime;'Horror', Adults, Trying to salvage a relationship, 2 couples go on a weekend camping trip only to find out that they aren't alone in the woods.
The Snows of Kilimanjaro;1952;Older Kids;114 min;'Action', 'Drama';May 26, 2022;7.2;Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilimanjaro.;prime;'Action', 'Drama', Older Kids, Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilimanjaro.
Whatever It Takes;1998;Adults;101 min;'Action';May 26, 2022;8.5;Two Los Angeles cops go undercover to investigate the distribution of steroids to wrestlers and bodybuilders.;prime;'Action', Adults, Two Los Angeles cops go undercover to investigate the distribution of steroids to wrestlers and bodybuilders.
Love Hurts;2011;Teens;95 min;'Comedy';May 25, 2022;8.0;A newly separated father has to learn how to date again with help from his teenage son who himself dreams of conquering one girl's heart.;prime;'Comedy', Teens, A newly separated father has to learn how to date again with help from his teenage son who himself dreams of conquering one girl's heart.
Peranbu;2019;Teens;145 min;'Drama';May 24, 2022;8.8;A story about a father who tries to understand the struggles of his disabled daughter Paapa. The plot highlights the journey of how he becomes a better man while he comes to terms with his child and her special needs.;prime;'Drama', Teens, A story about a father who tries to understand the struggles of his disabled daughter Paapa. The plot highlights the journey of how he becomes a better man while he comes to terms with his child and her special needs.
The Survivors;1983;Adults;103 min;'Comedy';May 24, 2022;7.7;Having both lost their jobs, two strangers become unlikely friends after a run in with a would be robber, who is actually a hitman with a grudge against the two.;prime;'Comedy', Adults, Having both lost their jobs, two strangers become unlikely friends after a run in with a would be robber, who is actually a hitman with a grudge against the two.
The Three Burials of Melquiades Estrada;2006;Adults;121 min;'Drama', 'Western';May 23, 2022;7.3;A man is shot and quickly buried in the high desert of west Texas. The body is found and reburied in Van Horn's town cemetery. Pete Perkins, a local ranch foreman, kidnaps a Border Patrolman and forces him to disinter the body. With his captive in tow and the body tied to a mule, Pete undertakes a dangerous and quixotic journey into Mexico.;prime;'Drama', 'Western', Adults, A man is shot and quickly buried in the high desert of west Texas. The body is found and reburied in Van Horn's town cemetery. Pete Perkins, a local ranch foreman, kidnaps a Border Patrolman and forces him to disinter the body. With his captive in tow and the body tied to a mule, Pete undertakes a dangerous and quixotic journey into Mexico.
The Little Princess;1939;ALL_AGES;89 min;'Comedy', 'Kids';May 22, 2022;7.1;Shirley Temple plays Sara Crewe, the privileged daughter of Captain Reginald Crewe. When the Captain leaves to fight in Africa, Sara is enrolled into an all-girls school in London. All is well until he is reported dead, but Sara thinks he's still alive.;prime;'Comedy', 'Kids', ALL_AGES, Shirley Temple plays Sara Crewe, the privileged daughter of Captain Reginald Crewe. When the Captain leaves to fight in Africa, Sara is enrolled into an all-girls school in London. All is well until he is reported dead, but Sara thinks he's still alive.
The Warriors;2017;Teens;1 Season;'Drama';May 22, 2022;7.5;Follows the once-great Warriors Football Club, which pins its hopes and dwindling reputation on three untested rookies and a jaded star. Overnight the talented young athletes are thrown head first into the high-stakes world of professional sport.;prime;'Drama', Teens, Follows the once-great Warriors Football Club, which pins its hopes and dwindling reputation on three untested rookies and a jaded star. Overnight the talented young athletes are thrown head first into the high-stakes world of professional sport.
Beat the Devil;1954;Teens;90 min;'Action', 'Adventure';May 21, 2022;8.9;Bogart stars as the front man for a group of swindlers stranded in an Italian port town, scheming to take ownership of uranium-rich land in Africa. Also stranded is a British couple. Flirtations and a web of lies ensue, testing loyalty, and allegiances.;prime;'Action', 'Adventure', Teens, Bogart stars as the front man for a group of swindlers stranded in an Italian port town, scheming to take ownership of uranium-rich land in Africa. Also stranded is a British couple. Flirtations and a web of lies ensue, testing loyalty, and allegiances.
Lazarus;2021;Adults;106 min;'Action', 'Science Fiction';May 21, 2022;9.4;A man is killed, but his death is a brief affair. Upon regaining consciousness, he discovers he has been gifted with extraordinary powers that allow him to super-heroically fight the organization responsible for plunging his city into darkness.;prime;'Action', 'Science Fiction', Adults, A man is killed, but his death is a brief affair. Upon regaining consciousness, he discovers he has been gifted with extraordinary powers that allow him to super-heroically fight the organization responsible for plunging his city into darkness.
Little Alien;2009;Older Kids;52 min;'Documentary';May 21, 2022;7.1;They're alive because they fled. But in the lands that offer shelter from war and persecution these young asylum seekers face an existence spent in life's waiting rooms. This intimate portrait follows them as they try to negotiate a complex and contradictory legal system and carve out a life in the no-man's-land they inhabit.;prime;'Documentary', Older Kids, They're alive because they fled. But in the lands that offer shelter from war and persecution these young asylum seekers face an existence spent in life's waiting rooms. This intimate portrait follows them as they try to negotiate a complex and contradictory legal system and carve out a life in the no-man's-land they inhabit.
The Stranger;1946;Older Kids;95 min;'Drama', 'Suspense';May 21, 2022;7.3;A member of the War Crimes Commission is seeking the mastermind of the Holocaust who has changed his identity.;prime;'Drama', 'Suspense', Older Kids, A member of the War Crimes Commission is seeking the mastermind of the Holocaust who has changed his identity.
Conspiracy;2008;Adults;90 min;'Action', 'Suspense';May 20, 2022;8.2;A seasoned senior enlisted special operations United States Marine is wounded during combat operations in Iraq. He retires from the Marine Corps and visits a friend in the south west. There he discovers his friend has disappeared and no one will even admit to knowing of him.;prime;'Action', 'Suspense', Adults, A seasoned senior enlisted special operations United States Marine is wounded during combat operations in Iraq. He retires from the Marine Corps and visits a friend in the south west. There he discovers his friend has disappeared and no one will even admit to knowing of him.
Light in the Dark;2020;Adults;105 min;'Drama', 'Romance';May 20, 2022;8.3;In the face of unspeakable pain, a couple must find a way to live and love again;prime;'Drama', 'Romance', Adults, In the face of unspeakable pain, a couple must find a way to live and love again
The Report;2019;Adults;120 min;'Drama', 'Historical', 'Military and War';May 20, 2022;7.1;In a thriller based on actual events, an idealistic Senate staffer leads an investigation into the CIA’s post-9/11 Detention and Interrogation Program, uncovering the lengths to which the agency went to hide a brutal secret from the American public.;prime;'Drama', 'Historical', 'Military and War', Adults, In a thriller based on actual events, an idealistic Senate staffer leads an investigation into the CIA’s post-9/11 Detention and Interrogation Program, uncovering the lengths to which the agency went to hide a brutal secret from the American public.
Totems;2022;Adults;1 Season;'Drama', 'Suspense';May 20, 2022;7.3;In 1965, during the Cold War, a French rocket scientist faces a very difficult spy mission and becomes enamored with a Soviet woman who secretly works for the KGB.;prime;'Drama', 'Suspense', Adults, In 1965, during the Cold War, a French rocket scientist faces a very difficult spy mission and becomes enamored with a Soviet woman who secretly works for the KGB.
Uncle Tom;2020;Adults;107 min;'Arts, Entertainment, and Culture', 'Documentary';May 20, 2022;8.4;The film explores the personal journeys of America's most misunderstood political and cultural groups: The American Black Conservative.Uncle Tom examines self-empowerment and rejecting the victim narrative and shows us a different perspective of American History.;prime;'Arts, Entertainment, and Culture', 'Documentary', Adults, The film explores the personal journeys of America's most misunderstood political and cultural groups: The American Black Conservative.Uncle Tom examines self-empowerment and rejecting the victim narrative and shows us a different perspective of American History.
Animal Kingdom;2021;Adults;"
                    New Season Added:";'Drama', 'Suspense';May 19, 2022;8.2;In Season 5, Pope, Craig, Deran and J are still dealing with the fallout from the events surrounding Smurf’s death, including family members out for revenge. With their kingdom without a leader, the Cody family struggles to maintain their fragile alliance, and see which of them will come out on top. Meanwhile, they search for information on Pamela Johnson whom Smurf made beneficiary of her estate.;prime;'Drama', 'Suspense', Adults, In Season 5, Pope, Craig, Deran and J are still dealing with the fallout from the events surrounding Smurf’s death, including family members out for revenge. With their kingdom without a leader, the Cody family struggles to maintain their fragile alliance, and see which of them will come out on top. Meanwhile, they search for information on Pamela Johnson whom Smurf made beneficiary of her estate.
As I Am;2020;Adults;61 min;'Arthouse', 'LGBTQ', 'Romance';May 19, 2022;7.3;A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.;prime;'Arthouse', 'LGBTQ', 'Romance', Adults, A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.
After the Rain;2022;Adults;95 min;'Drama', 'Kids', 'Romance';May 18, 2022;7.8;Based on a true story, this provocative film follows the struggling romance between a terminal young man running out of time and a woman desperate to breathe life into his final days.;prime;'Drama', 'Kids', 'Romance', Adults, Based on a true story, this provocative film follows the struggling romance between a terminal young man running out of time and a woman desperate to breathe life into his final days.
Beyond the Infinite Two Minutes;2021;Adults;71 min;'Comedy', 'Drama', 'Science Fiction';May 18, 2022;7.3;"Kato goes back to his apartment above the cafe after finishing up work for the day. When he is about to play his guitar, Kato himself suddenly appears on his TV screen and begins speaking. ""I'm the future me. Two minutes in the future.""";prime;"'Comedy', 'Drama', 'Science Fiction', Adults, Kato goes back to his apartment above the cafe after finishing up work for the day. When he is about to play his guitar, Kato himself suddenly appears on his TV screen and begins speaking. ""I'm the future me. Two minutes in the future."""
Breathless;2021;Adults;106 min;'Drama';May 18, 2022;7.5;The life of a young employee changes during the lock-down. Alone at home, he works at the computer, taking care of plants, which his mother loved so much, and getting through his own loneliness. Everything seems lost but something changes.;prime;'Drama', Adults, The life of a young employee changes during the lock-down. Alone at home, he works at the computer, taking care of plants, which his mother loved so much, and getting through his own loneliness. Everything seems lost but something changes.
Dodsworth;1936;Adults;101 min;'Drama', 'Romance';May 18, 2022;7.8;A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.;prime;'Drama', 'Romance', Adults, A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.
June;2018;Adults;105 min;'Comedy';May 18, 2022;8.8;June is a romantic comedy that follows a wedding planner played by Michelle Dede who is in search of love.;prime;'Comedy', Adults, June is a romantic comedy that follows a wedding planner played by Michelle Dede who is in search of love.
Meet John Doe;2022;Adults;122 min;'Comedy', 'Drama';May 18, 2022;7.6;"A reporter, Ann Mitchell writes a fictitious column about someone named ""John Doe"" and convinces a homeless man 'Long John' Willoughby to impersonate this fictitious character so she can keep her job.";prime;"'Comedy', 'Drama', Adults, A reporter, Ann Mitchell writes a fictitious column about someone named ""John Doe"" and convinces a homeless man 'Long John' Willoughby to impersonate this fictitious character so she can keep her job."
Purgatory;2021;Older Kids;88 min;'Drama';May 18, 2022;7.3;Purgatory examines the fate of the soul once it leaves the body after death. Drawing from the accounts of approved mystics such as Fulla Horak, St. Faustina Kowalska and St. Padre Pio. Purgatory tells the story of immortal souls living both in human bodies and those that have already left this world.;prime;'Drama', Older Kids, Purgatory examines the fate of the soul once it leaves the body after death. Drawing from the accounts of approved mystics such as Fulla Horak, St. Faustina Kowalska and St. Padre Pio. Purgatory tells the story of immortal souls living both in human bodies and those that have already left this world.
Scarlet Street;2022;Adults;102 min;'Drama', 'Suspense';May 18, 2022;7.8;Cashier and part-time starving artist Christopher Cross (Edward G. Robinson) is absolutely smitten with the beautiful Kitty March (Joan Bennett). Kitty plays along, but she's really only interested in Johnny (Dan Duryea), a two-bit crook.;prime;'Drama', 'Suspense', Adults, Cashier and part-time starving artist Christopher Cross (Edward G. Robinson) is absolutely smitten with the beautiful Kitty March (Joan Bennett). Kitty plays along, but she's really only interested in Johnny (Dan Duryea), a two-bit crook.
Taking Sides;2002;Adults;105 min;'Action', 'Arthouse', 'Drama';May 18, 2022;7.1;After the end of World War II, a famous German conductor is accused of loyalty to the Nazi regime. He argues that art and politics are separate. An investigator thinks otherwise.;prime;'Action', 'Arthouse', 'Drama', Adults, After the end of World War II, a famous German conductor is accused of loyalty to the Nazi regime. He argues that art and politics are separate. An investigator thinks otherwise.
The Therapist;2021;Adults;118 min;'Drama';May 18, 2022;8.0;After losing everything in a divorce to her abusive ex-husband, a penniless and desperate Eloho Odafe decides to help women in similar situations. With the help and support of her friends, Gari and Dumebi, she sets up an agency solely for this purpose. However, everything changes when an offer is made to Eloho that she can't refuse.;prime;'Drama', Adults, After losing everything in a divorce to her abusive ex-husband, a penniless and desperate Eloho Odafe decides to help women in similar situations. With the help and support of her friends, Gari and Dumebi, she sets up an agency solely for this purpose. However, everything changes when an offer is made to Eloho that she can't refuse.
Touch;2012;Adults;110 min;'Drama', 'Romance';May 18, 2022;8.6;Desperately seeking to save his marriage, Brendan goes to the nail salon every day where Tam does more than scrub his hands clean of the oil stains from working as a mechanic. She offers him advice on how win his wife's love again. But soon, they find themselves drawn to each other, an attraction which becomes harder and harder to resist.;prime;'Drama', 'Romance', Adults, Desperately seeking to save his marriage, Brendan goes to the nail salon every day where Tam does more than scrub his hands clean of the oil stains from working as a mechanic. She offers him advice on how win his wife's love again. But soon, they find themselves drawn to each other, an attraction which becomes harder and harder to resist.
Election;1999;Adults;103 min;'Comedy';May 16, 2022;7.1;"Tracy Flick, a straight ""A"" go-getter who's determined to be president of Carver High's student body. But when popular teacher Jim McAllister observes the zealous political locomotive, he decides to derail her.";prime, hbo max;"'Comedy', Adults, Tracy Flick, a straight ""A"" go-getter who's determined to be president of Carver High's student body. But when popular teacher Jim McAllister observes the zealous political locomotive, he decides to derail her."
Signs of Life;1981;Adults;90 min;'Action', 'Drama';May 16, 2022;7.1;A wounded German paratrooper named Stroszek is sent to the quiet island of Kos with his wife Nora, a Greek nurse, and two other soldiers recovering from minor wounds. Billeted in a decaying fortress, they guard a munitions depot.;prime;'Action', 'Drama', Adults, A wounded German paratrooper named Stroszek is sent to the quiet island of Kos with his wife Nora, a Greek nurse, and two other soldiers recovering from minor wounds. Billeted in a decaying fortress, they guard a munitions depot.
The Hospital;1971;Teens;103 min;'Comedy', 'Drama', 'Suspense';May 16, 2022;7.1;From director Arthur Hiller comes this caustic comedy starring George C. Scott as a besieged doctor in a bureaucratic mega-hospital who meets a free-spirit just in time.;prime;'Comedy', 'Drama', 'Suspense', Teens, From director Arthur Hiller comes this caustic comedy starring George C. Scott as a besieged doctor in a bureaucratic mega-hospital who meets a free-spirit just in time.
The Hurricane;1937;Adults;104 min;'Action', 'Drama', 'Romance';May 16, 2022;7.6;A Polynesian sailor – unjustly imprisoned after defending himself against a colonial bully – is relentlessly persecuted by his island's martinet French governor.;prime;'Action', 'Drama', 'Romance', Adults, A Polynesian sailor – unjustly imprisoned after defending himself against a colonial bully – is relentlessly persecuted by his island's martinet French governor.
Allied;2016;Adults;124 min;'Drama';May 15, 2022;7.1;Allied is the story of intelligence officer Max Vatan, who in 1942 North Africa encounters French Resistance fighter Marianne Beausejour on a deadly mission behind enemy lines.;prime;'Drama', Adults, Allied is the story of intelligence officer Max Vatan, who in 1942 North Africa encounters French Resistance fighter Marianne Beausejour on a deadly mission behind enemy lines.
Radio Days;1987;Older Kids;89 min;'Comedy';May 15, 2022;7.4;In this star-studded portrait of the 1940s, Woody Allen weaves together a young boy's comical memories with zany stories from the golden age of radio to create a delightful tapestry of hilarious vignettes...and a beautiful eulogy to a bygone era.;prime, hbo max;'Comedy', Older Kids, In this star-studded portrait of the 1940s, Woody Allen weaves together a young boy's comical memories with zany stories from the golden age of radio to create a delightful tapestry of hilarious vignettes...and a beautiful eulogy to a bygone era.
Eye in the Sky;2016;Adults;103 min;'Action', 'Drama', 'Suspense';May 14, 2022;7.3;An operation to capture terrorists in Kenya is complicated when a young girl enters the kill zone, triggering an international dispute over the implications of modern warfare.;prime;'Action', 'Drama', 'Suspense', Adults, An operation to capture terrorists in Kenya is complicated when a young girl enters the kill zone, triggering an international dispute over the implications of modern warfare.
The Big Wheel;1949;Teens;92 min;'Comedy';May 14, 2022;8.2;A brash young midget car race driver lives in the shadow of his famous father, a drunken womanizer, who was killed in an accident years earlier.;prime;'Comedy', Teens, A brash young midget car race driver lives in the shadow of his famous father, a drunken womanizer, who was killed in an accident years earlier.
The Summer I Turned Pretty;2022;Older Kids;1 Season;'Drama', 'Romance', 'Young Adult Audience';May 14, 2022;7.7;A new series based on the New York Times bestselling book. Every summer, Belly and her family head to the Fishers’ beach house in Cousins. Every summer is the same ... until Belly turns sixteen. Relationships will be tested, painful truths will be revealed, and Belly will be forever changed. It’s a summer of first love, first heartbreak and growing up – it's the summer she turns pretty.;prime;'Drama', 'Romance', 'Young Adult Audience', Older Kids, A new series based on the New York Times bestselling book. Every summer, Belly and her family head to the Fishers’ beach house in Cousins. Every summer is the same ... until Belly turns sixteen. Relationships will be tested, painful truths will be revealed, and Belly will be forever changed. It’s a summer of first love, first heartbreak and growing up – it's the summer she turns pretty.
The Captain;2019;Adults;111 min;'Action', 'Adventure', 'Drama';May 13, 2022;7.4;When the windshield of his commercial airplane shatters at 30,000 feet in the air, a pilot and his flight crew work to ensure the safety of the passengers and land the plane;prime;'Action', 'Adventure', 'Drama', Adults, When the windshield of his commercial airplane shatters at 30,000 feet in the air, a pilot and his flight crew work to ensure the safety of the passengers and land the plane
Tin Star;2020;Adults;"
                    New Season Added:";'Drama', 'Suspense';May 13, 2022;7.2;The third and final season of Tin Star is the most thrilling, and darkly comic rollercoaster ride yet. It tells the story of Jack, Angela and Anna returning to Liverpool, where their story began twenty years ago, to face their deadliest enemies in a battle with the past to win freedom in the present. But instead, our heroes are forced to face up to the devastating truth about who they really are.;prime;'Drama', 'Suspense', Adults, The third and final season of Tin Star is the most thrilling, and darkly comic rollercoaster ride yet. It tells the story of Jack, Angela and Anna returning to Liverpool, where their story began twenty years ago, to face their deadliest enemies in a battle with the past to win freedom in the present. But instead, our heroes are forced to face up to the devastating truth about who they really are.
The Island;2018;Adults;93 min;'Action';May 11, 2022;9.1;A military agent must bring down a terrorist's sinister plot. When Hamza, an elite solider, uncovers a sinister plot involving illegal arms dealing, he finds himself in a web of murder and corruption.;prime;'Action', Adults, A military agent must bring down a terrorist's sinister plot. When Hamza, an elite solider, uncovers a sinister plot involving illegal arms dealing, he finds himself in a web of murder and corruption.
Chambal;2019;Adults;109 min;'Action', 'Drama', 'Suspense';May 10, 2022;7.2;Subhash is a young and dynamic IAS officer, His relentless and uncompromising way of working sends shivers across the corridors of power, cutting across political and business circles. Being incorruptible and principled, his idealism and righteousness soon become a threat to the entire system.;prime;'Action', 'Drama', 'Suspense', Adults, Subhash is a young and dynamic IAS officer, His relentless and uncompromising way of working sends shivers across the corridors of power, cutting across political and business circles. Being incorruptible and principled, his idealism and righteousness soon become a threat to the entire system.
Invasion of the Body Snatchers;1978;Older Kids;116 min;'Horror', 'Science Fiction', 'Special Interest';May 10, 2022;7.4;One by one, the residents of San Francisco are becoming drone-like shadows their former selves.;prime;'Horror', 'Science Fiction', 'Special Interest', Older Kids, One by one, the residents of San Francisco are becoming drone-like shadows their former selves.
Panchayat;2022;Adults;"
                    New Season Added:";'Comedy', 'Drama';May 10, 2022;8.9;With the rise of an opponent against Pradhan Ji, village politics of Phulera heats up. Unable to stay neutral, Abhishek sticks his neck out for Pradhan's family.;prime;'Comedy', 'Drama', Adults, With the rise of an opponent against Pradhan Ji, village politics of Phulera heats up. Unable to stay neutral, Abhishek sticks his neck out for Pradhan's family.
Penny Serenade;1941;Older Kids;117 min;'Drama';May 10, 2022;7.2;A young couple falls in love while on a trip to Japan, but face tragedy when an earthquake causes June (Irene Dunne) to lose the baby she is carrying.;prime;'Drama', Older Kids, A young couple falls in love while on a trip to Japan, but face tragedy when an earthquake causes June (Irene Dunne) to lose the baby she is carrying.
Nebraska;2014;Adults;115 min;'Drama';May 8, 2022;7.8;When a father and his adult son embark on a journey to claim a million-dollar prize, what begins as a fool's errand becomes a search for the road to redemption.;prime;'Drama', Adults, When a father and his adult son embark on a journey to claim a million-dollar prize, what begins as a fool's errand becomes a search for the road to redemption.
Rosebud;1975;Older Kids;121 min;'Action';May 8, 2022;8.8;Renowned producer-director Otto Preminger captures international terrorism in this film about five teenage girls who are kidnapped from a yacht by the P.L.O.;prime;'Action', Older Kids, Renowned producer-director Otto Preminger captures international terrorism in this film about five teenage girls who are kidnapped from a yacht by the P.L.O.
Trapped;1949;Older Kids;78 min;'Drama';May 8, 2022;7.5;U.S. Treasury Department agents go after a ring of counterfeiters.;prime;'Drama', Older Kids, U.S. Treasury Department agents go after a ring of counterfeiters.
Lost Horizon;1973;Teens;138 min;'Action', 'Arts, Entertainment, and Culture', 'Drama';May 5, 2022;9.0;While escaping war-torn China, a group of Europeans crash in the Himalayas, where they are rescued and taken to the mysterious Valley of the Blue Moon, Shangri-La.;prime;'Action', 'Arts, Entertainment, and Culture', 'Drama', Teens, While escaping war-torn China, a group of Europeans crash in the Himalayas, where they are rescued and taken to the mysterious Valley of the Blue Moon, Shangri-La.
Restoration;2016;Teens;93 min;'Drama', 'Kids', 'Special Interest';May 5, 2022;7.9;"CK Erwin is a man who's lost his family as well as his will to live. But, when he takes a job as a mechanic at a small Auto Restore shop, he is soon involved with a new ragtag family who needs him every bit as much as he needs them. Especially feisty Samantha ""Sam"" Collins, a high school wrestler, who needs a private coach for her last shot at Finals this year.";prime;"'Drama', 'Kids', 'Special Interest', Teens, CK Erwin is a man who's lost his family as well as his will to live. But, when he takes a job as a mechanic at a small Auto Restore shop, he is soon involved with a new ragtag family who needs him every bit as much as he needs them. Especially feisty Samantha ""Sam"" Collins, a high school wrestler, who needs a private coach for her last shot at Finals this year."
Dark;2015;Adults;94 min;'Drama', 'Horror', 'Suspense';May 3, 2022;8.7;Trapped and alone in New York City during the 2003 blackout, a single woman must confront her deepest fears to survive the night. As the city teeters on the brink of chaos, she finds herself more and more disturbed.;prime;'Drama', 'Horror', 'Suspense', Adults, Trapped and alone in New York City during the 2003 blackout, a single woman must confront her deepest fears to survive the night. As the city teeters on the brink of chaos, she finds herself more and more disturbed.
Soldier's Girl;2003;Adults;112 min;'Drama', 'Suspense';May 3, 2022;7.8;When Barry Winchell is assigned to the Airborne Infantry in Kentucky, he's thrown into a world of aggression and macho ethics. Then he falls in love with a local trans-gendered performer inciting anger and violence among his bigoted fellow recruits.;prime;'Drama', 'Suspense', Adults, When Barry Winchell is assigned to the Airborne Infantry in Kentucky, he's thrown into a world of aggression and macho ethics. Then he falls in love with a local trans-gendered performer inciting anger and violence among his bigoted fellow recruits.
Modern Love Mumbai;2022;Adults;1 Season;'Comedy', 'Drama', 'Romance';May 2, 2022;8.2;Modern Love Mumbai explores 6 unique yet universal stories of human connection and love in its varied forms – romantic, platonic, parental, sexual, familial, marital, self love. Inspired by the beloved New York Times column, this edition of the hugely popular original version of the same name, explores love in all of its complicated and beautiful forms against the city of dreams, Mumbai.;prime;'Comedy', 'Drama', 'Romance', Adults, Modern Love Mumbai explores 6 unique yet universal stories of human connection and love in its varied forms – romantic, platonic, parental, sexual, familial, marital, self love. Inspired by the beloved New York Times column, this edition of the hugely popular original version of the same name, explores love in all of its complicated and beautiful forms against the city of dreams, Mumbai.
Marathon Man;1976;Adults;125 min;'Action', 'Drama', 'Suspense';May 1, 2022;7.4;A graduate history student is unwittingly caught in the middle of an international conspiracy involving stolen diamonds, an exiled Nazi war criminal, and a rogue government agent. .;prime, hbo max;'Action', 'Drama', 'Suspense', Adults, A graduate history student is unwittingly caught in the middle of an international conspiracy involving stolen diamonds, an exiled Nazi war criminal, and a rogue government agent. .
Office Space;1999;Adults;89 min;'Drama';May 1, 2022;7.7;Tired of his mind-numbing job, Peter adopts a negligent attitude as a way to get fired. But instead, he's propelled into the ranks of upper management.;prime;'Drama', Adults, Tired of his mind-numbing job, Peter adopts a negligent attitude as a way to get fired. But instead, he's propelled into the ranks of upper management.
The Namesake;2007;Teens;122 min;'Drama';May 1, 2022;7.5;HD. An Indian immigrant family learns to revere tradition while accepting American ideas in this film based on the novel.;prime, hbo max;'Drama', Teens, HD. An Indian immigrant family learns to revere tradition while accepting American ideas in this film based on the novel.
The Winslow Boy;1999;Kids;104 min;'Drama', 'Romance';May 1, 2022;7.3;When a young boy claims he was expelled for something he didn't do, his father sacrifices everything to defend his family's honor. Based on Terence Rattigan's celebrated play, adapted and directed byDavid Mamet.;prime;'Drama', 'Romance', Kids, When a young boy claims he was expelled for something he didn't do, his father sacrifices everything to defend his family's honor. Based on Terence Rattigan's celebrated play, adapted and directed byDavid Mamet.
Silence;2017;Adults;161 min;'Drama';April 29, 2022;9.5;Two Christian missionaries who face the ultimate test of faith, travel to Japan in search of their missing mentor during a time when Christianity was outlawed and their presence forbidden.;prime;'Drama', Adults, Two Christian missionaries who face the ultimate test of faith, travel to Japan in search of their missing mentor during a time when Christianity was outlawed and their presence forbidden.
The Golden Child;1986;Teens;94 min;'Adventure', 'Comedy', 'Fantasy';April 29, 2022;8.1;A detective who has a knack for finding lost children is recruited by a Tibetan High Priestess to find the Golden Child, a Bhuddist mystic youngster who has been kidnapped by an evil sorcerer.;prime;'Adventure', 'Comedy', 'Fantasy', Teens, A detective who has a knack for finding lost children is recruited by a Tibetan High Priestess to find the Golden Child, a Bhuddist mystic youngster who has been kidnapped by an evil sorcerer.
Undone;2016;Adults;1 Season;'Kids', 'Special Interest';April 29, 2022;8.2;Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by narratives that promote play, the fun of learning and understanding the world around them.;prime;'Kids', 'Special Interest', Adults, Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by narratives that promote play, the fun of learning and understanding the world around them.
Arrival;2016;Teens;116 min;'Drama', 'Science Fiction', 'Suspense';April 26, 2022;7.9;When mysterious spacecraft touch down across the globe, an elite team - led by expert translator Louise Banks (Academy Award nominee Amy Adams) - races against time to decipher their intent.;prime;'Drama', 'Science Fiction', 'Suspense', Teens, When mysterious spacecraft touch down across the globe, an elite team - led by expert translator Louise Banks (Academy Award nominee Amy Adams) - races against time to decipher their intent.
Bloody Sunday;2002;Adults;111 min;'Action', 'Arthouse', 'Drama';April 26, 2022;7.6;The infamous story of Bloody Sunday unfolds from the perspective of Ivan, the activist who led the peaceful protest march in Northern Ireland on January 30, 1972, that took a violent turn when British soldiers opened fire on a defenseless crowd.;prime;'Action', 'Arthouse', 'Drama', Adults, The infamous story of Bloody Sunday unfolds from the perspective of Ivan, the activist who led the peaceful protest march in Northern Ireland on January 30, 1972, that took a violent turn when British soldiers opened fire on a defenseless crowd.
In Search of Greatness;2018;Teens;77 min;'Documentary', 'Drama', 'Special Interest';April 26, 2022;7.1;IN SEARCH OF GREATNESS is a groundbreaking documentary that reveals the true nature and nurture of the greatest athletes of all time;prime;'Documentary', 'Drama', 'Special Interest', Teens, IN SEARCH OF GREATNESS is a groundbreaking documentary that reveals the true nature and nurture of the greatest athletes of all time
Flight;2012;Adults;139 min;'Drama';April 24, 2022;7.2;An airline pilot saves a flight from crashing, but an investigation into the malfunctions reveals something troubling.;prime;'Drama', Adults, An airline pilot saves a flight from crashing, but an investigation into the malfunctions reveals something troubling.
